country,countryLabel,style,styleLabel,count,monuments
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q37853,барокко,67,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q34636,модерн,35,
http://www.wikidata.org/entity/Q96,Мексика,http://www.wikidata.org/entity/Q110664392,Anti-monuments in Mexico,18,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q1133779,искусство Возрождения,11,
http://www.wikidata.org/entity/Q159,Россия,http://www.wikidata.org/entity/Q180902,социалистический реализм,10,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q170292,классицизм,9,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q1472236,Раннее Возрождение,8,
http://www.wikidata.org/entity/Q794,Иран,http://www.wikidata.org/entity/Q835478,искусство государства Сасанидов,5,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1122677,каталонский модерн,5,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q37853,барокко,5,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q122960,рококо,5,
http://www.wikidata.org/entity/Q145,Великобритания,http://www.wikidata.org/entity/Q11811815,New Sculpture,4,
http://www.wikidata.org/entity/Q794,Иран,http://www.wikidata.org/entity/Q2864726,Каджарское искусство,4,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q647862,Realism sculpture,4,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q1474884,Высокий Ренессанс,4,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q46825,готика,3,
http://www.wikidata.org/entity/Q794,Иран,http://www.wikidata.org/entity/Q745593,искусство Парфянского царства,3,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q14378,неоклассицизм,3,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q1277524,готическая скульптура,3,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q1404472,итальянское Возрождение,3,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q34636,модерн,3,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q20645040,стиль либерти,3,
http://www.wikidata.org/entity/Q31,Бельгия,http://www.wikidata.org/entity/Q173782,ар-деко,2,
http://www.wikidata.org/entity/Q155,Бразилия,http://www.wikidata.org/entity/Q173782,ар-деко,2,
http://www.wikidata.org/entity/Q237,Ватикан,http://www.wikidata.org/entity/Q2763408,скульптура барокко,2,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q37853,барокко,2,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q10822316,конкретное искусство,2,
http://www.wikidata.org/entity/Q41,Греция,http://www.wikidata.org/entity/Q16064885,art of Classical Greece,2,
http://www.wikidata.org/entity/Q41,Греция,http://www.wikidata.org/entity/Q221375,эллинистическое искусство,2,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q4692,Возрождение,2,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q37853,барокко,2,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q10857409,реализм,2,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q37068,романтизм,2,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q830331,этрусское искусство,2,
http://www.wikidata.org/entity/Q36,Польша,http://www.wikidata.org/entity/Q318394,искусство Древнего Египта,2,
http://www.wikidata.org/entity/Q36,Польша,http://www.wikidata.org/entity/Q131808,маньеризм,2,
http://www.wikidata.org/entity/Q159,Россия,http://www.wikidata.org/entity/Q2026876,русский стиль,2,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q128115,абстракционизм,2,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q54111,архитектура неоклассицизма,2,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q1277524,готическая скульптура,2,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q186030,современное искусство,2,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q4692,Возрождение,2,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q34636,модерн,2,
http://www.wikidata.org/entity/Q17,Япония,http://www.wikidata.org/entity/Q15903465,Pure Land worship,2,
http://www.wikidata.org/entity/Q408,Австралия,http://www.wikidata.org/entity/Q173782,ар-деко,1,
http://www.wikidata.org/entity/Q408,Австралия,http://www.wikidata.org/entity/Q34636,модерн,1,
http://www.wikidata.org/entity/Q40,Австрия,http://www.wikidata.org/entity/Q83596856,Barock,1,
http://www.wikidata.org/entity/Q40,Австрия,http://www.wikidata.org/entity/Q2763408,скульптура барокко,1,
http://www.wikidata.org/entity/Q204920,Арагонская корона,http://www.wikidata.org/entity/Q37853,барокко,1,
http://www.wikidata.org/entity/Q414,Аргентина,http://www.wikidata.org/entity/Q7185455,Mahjar,1,
http://www.wikidata.org/entity/Q414,Аргентина,http://www.wikidata.org/entity/Q203209,концептуальное искусство,1,
http://www.wikidata.org/entity/Q414,Аргентина,http://www.wikidata.org/entity/Q878985,модернизм,1,
http://www.wikidata.org/entity/Q414,Аргентина,http://www.wikidata.org/entity/Q134147,поп-арт,1,
http://www.wikidata.org/entity/Q889,Афганистан,http://www.wikidata.org/entity/Q1008014,греко-буддистское искусство,1,
http://www.wikidata.org/entity/Q31,Бельгия,http://www.wikidata.org/entity/Q170292,классицизм,1,
http://www.wikidata.org/entity/Q31,Бельгия,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q31,Бельгия,http://www.wikidata.org/entity/Q2479493,эклектика,1,
http://www.wikidata.org/entity/Q962,Бенин,http://www.wikidata.org/entity/Q180902,социалистический реализм,1,
http://www.wikidata.org/entity/Q155,Бразилия,http://www.wikidata.org/entity/Q245188,архитектурный модернизм,1,
http://www.wikidata.org/entity/Q155,Бразилия,http://www.wikidata.org/entity/Q34636,модерн,1,
http://www.wikidata.org/entity/Q237,Ватикан,http://www.wikidata.org/entity/Q5839901,Neoclassical sculpture,1,
http://www.wikidata.org/entity/Q237,Ватикан,http://www.wikidata.org/entity/Q37853,барокко,1,
http://www.wikidata.org/entity/Q237,Ватикан,http://www.wikidata.org/entity/Q6092662,итальянская архитектура барокко,1,
http://www.wikidata.org/entity/Q237,Ватикан,http://www.wikidata.org/entity/Q3953198,итальянская скульптура эпохи Возрождения,1,
http://www.wikidata.org/entity/Q145,Великобритания,http://www.wikidata.org/entity/Q994776,брутализм,1,
http://www.wikidata.org/entity/Q49683,Великое княжество Литовское,http://www.wikidata.org/entity/Q936588,скульптура Ренессанса,1,
http://www.wikidata.org/entity/Q28,Венгрия,http://www.wikidata.org/entity/Q180902,социалистический реализм,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q1973661,Q1973661,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q1472236,Раннее Возрождение,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q40415,импрессионизм,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q186363,неоготика,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q1471923,ранний бронзовый век,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q10857409,реализм,1,
http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q122960,рококо,1,
http://www.wikidata.org/entity/Q41,Греция,http://www.wikidata.org/entity/Q1580145,эллинистическая скульптура,1,
http://www.wikidata.org/entity/Q35,Дания,http://www.wikidata.org/entity/Q170292,классицизм,1,
http://www.wikidata.org/entity/Q35,Дания,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q55502,Иерусалимское королевство,http://www.wikidata.org/entity/Q4797258,Искусство крестоносцев,1,
http://www.wikidata.org/entity/Q801,Израиль,http://www.wikidata.org/entity/Q878985,модернизм,1,
http://www.wikidata.org/entity/Q796,Ирак,http://www.wikidata.org/entity/Q745593,искусство Парфянского царства,1,
http://www.wikidata.org/entity/Q794,Иран,http://www.wikidata.org/entity/Q98399027,Пехлевийское исусство,1,
http://www.wikidata.org/entity/Q794,Иран,http://www.wikidata.org/entity/Q20111293,искусство державы Ахеменидов,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q466887,Прекрасная эпоха,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q189458,академизм,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q12720942,архитектура ар-деко,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1277524,готическая скульптура,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q3564636,иберское искусство,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q8242964,искусство барокко в Испании,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q51879601,историзм,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q46805,романское искусство,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q1334868,романское искусство Каталонии,1,
http://www.wikidata.org/entity/Q29,Испания,http://www.wikidata.org/entity/Q2763408,скульптура барокко,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q5839901,Neoclassical sculpture,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q3374347,Византийская иконопись,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q3326940,Движение за конкретное искусство,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q128168,Контрреформация,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q176483,готическая архитектура,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q38,Италия,http://www.wikidata.org/entity/Q29536,язычество,1,
http://www.wikidata.org/entity/Q739,Колумбия,http://www.wikidata.org/entity/Q173782,ар-деко,1,
http://www.wikidata.org/entity/Q96,Мексика,http://www.wikidata.org/entity/Q4774402,anti-monumentalism,1,
http://www.wikidata.org/entity/Q55,Нидерланды,http://www.wikidata.org/entity/Q177725,абстрактный экспрессионизм,1,
http://www.wikidata.org/entity/Q55,Нидерланды,http://www.wikidata.org/entity/Q191105,ампир,1,
http://www.wikidata.org/entity/Q55,Нидерланды,http://www.wikidata.org/entity/Q173782,ар-деко,1,
http://www.wikidata.org/entity/Q55,Нидерланды,http://www.wikidata.org/entity/Q54111,архитектура неоклассицизма,1,
http://www.wikidata.org/entity/Q419,Перу,http://www.wikidata.org/entity/Q994776,брутализм,1,
http://www.wikidata.org/entity/Q36,Польша,http://www.wikidata.org/entity/Q46825,готика,1,
http://www.wikidata.org/entity/Q36,Польша,http://www.wikidata.org/entity/Q34636,модерн,1,
http://www.wikidata.org/entity/Q36,Польша,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q36,Польша,http://www.wikidata.org/entity/Q180902,социалистический реализм,1,
http://www.wikidata.org/entity/Q159,Россия,http://www.wikidata.org/entity/Q173782,ар-деко,1,
http://www.wikidata.org/entity/Q159,Россия,http://www.wikidata.org/entity/Q122960,рококо,1,
http://www.wikidata.org/entity/Q1037,Руанда,http://www.wikidata.org/entity/Q9259,всемирное наследие,1,
http://www.wikidata.org/entity/Q218,Румыния,http://www.wikidata.org/entity/Q189458,академизм,1,
http://www.wikidata.org/entity/Q218,Румыния,http://www.wikidata.org/entity/Q170292,классицизм,1,
http://www.wikidata.org/entity/Q30,США,http://www.wikidata.org/entity/Q326478,ленд-арт,1,
http://www.wikidata.org/entity/Q30,США,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q221,Северная Македония,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q1041,Сенегал,http://www.wikidata.org/entity/Q180902,социалистический реализм,1,
http://www.wikidata.org/entity/Q869,Таиланд,http://www.wikidata.org/entity/Q97227494,Khana Ratsadon's architecture,1,
http://www.wikidata.org/entity/Q869,Таиланд,http://www.wikidata.org/entity/Q173782,ар-деко,1,
http://www.wikidata.org/entity/Q212,Украина,http://www.wikidata.org/entity/Q1542287,украинское барокко,1,
http://www.wikidata.org/entity/Q33,Финляндия,http://www.wikidata.org/entity/Q667661,реализм,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q41105026,ancient Greek vase painting,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q173782,ар-деко,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q46825,готика,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q614082,искусство Каролингов,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q203209,концептуальное искусство,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q878985,модернизм,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q186363,неоготика,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q557141,паблик-арт,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q46261,романская архитектура,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q37068,романтизм,1,
http://www.wikidata.org/entity/Q142,Франция,http://www.wikidata.org/entity/Q1362251,скульптура Древнего Рима,1,
http://www.wikidata.org/entity/Q224,Хорватия,http://www.wikidata.org/entity/Q221375,эллинистическое искусство,1,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q54111,архитектура неоклассицизма,1,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q46825,готика,1,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q277466,историзм,1,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q42934,кубизм,1,
http://www.wikidata.org/entity/Q213,Чехия,http://www.wikidata.org/entity/Q2537632,эклектика,1,
http://www.wikidata.org/entity/Q39,Швейцария,http://www.wikidata.org/entity/Q14378,неоклассицизм,1,
http://www.wikidata.org/entity/Q17,Япония,http://www.wikidata.org/entity/Q3079516,Кэй,1,
